,LGA,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,Over 65 total per LGA
60,Kalgoorlie/Boulder ,192.0,182.0,187.0,172.0,152.0,107.0,109.0,103.0,73.0,105.0,89.0,88.0,59.0,62.0,37.0,40.0,48.0,45.0,45.0,42.0,28.0,17.0,22.0,24.0,13.0,11.0,8.0,7.0,8.0,9.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2094.0
61,Karratha ,91.0,64.0,53.0,61.0,38.0,28.0,20.0,26.0,25.0,20.0,15.0,19.0,9.0,10.0,10.0,13.0,3.0,3.0,4.0,5.0,4.0,5.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0
62,Katanning ,38.0,42.0,45.0,41.0,46.0,45.0,39.0,30.0,36.0,26.0,29.0,20.0,41.0,22.0,24.0,17.0,33.0,16.0,13.0,18.0,10.0,14.0,14.0,11.0,6.0,11.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0
63,Kellerberrin ,22.0,18.0,20.0,12.0,11.0,12.0,15.0,14.0,6.0,24.0,12.0,14.0,10.0,16.0,13.0,14.0,6.0,17.0,8.0,6.0,4.0,6.0,10.0,3.0,0.0,0.0,4.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0
64,Kent ,9.0,7.0,8.0,9.0,4.0,4.0,0.0,3.0,3.0,8.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
65,Kojonup ,21.0,18.0,36.0,16.0,25.0,20.0,20.0,9.0,22.0,21.0,13.0,18.0,21.0,18.0,9.0,20.0,9.0,11.0,11.0,12.0,9.0,7.0,8.0,7.0,4.0,5.0,3.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0
66,Kondinin ,13.0,16.0,8.0,10.0,15.0,5.0,6.0,6.0,5.0,10.0,7.0,4.0,4.0,8.0,4.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
67,Koorda ,8.0,8.0,3.0,7.0,9.0,3.0,3.0,0.0,8.0,4.0,4.0,3.0,3.0,0.0,5.0,0.0,0.0,3.0,4.0,4.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
68,Kulin ,18.0,11.0,5.0,8.0,17.0,0.0,4.0,3.0,3.0,13.0,7.0,5.0,0.0,8.0,3.0,10.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0
69,Kwinana ,243.0,249.0,272.0,263.0,226.0,185.0,190.0,194.0,157.0,178.0,147.0,134.0,133.0,127.0,117.0,95.0,99.0,98.0,72.0,77.0,63.0,58.0,30.0,38.0,30.0,33.0,17.0,12.0,8.0,8.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3566.0
